state,counts,guns_per_capita,guns_registered,region,population
Alabama,1461,33.15,161641,South,4833722
Alaska,317,21.38,15824,Other,735132
Arizona,587,25.61,179738,West,6626624
Arkansas,820,26.57,79841,South,2959373
California,4588,8.71,344622,West,38332521
Colorado,809,16.48,92435,West,5268367
Connecticut,780,22.96,82400,North East,3596080
Delaware,389,5.04,4852,North East,925749
Florida,4156,16.35,343288,South,19552860
Georgia,1994,18.22,190050,South,9992167
Hawaii,68,5.5,7859,Other,1404054
Idaho,163,28.86,49566,West,1612136
Illinois,5089,11.44,146487,Mid West,12882135
Indiana,1483,17.1,114019,Mid West,6570902
Iowa,586,9.05,28494,Mid West,3090416
Kansas,578,18.06,52634,Mid West,2893957
Kentucky,1030,18.2,81068,South,4395295
Louisiana,1987,24.94,116831,South,4625470
Maine,203,11.5,15371,North East,1328302
Maryland,1579,17.03,103109,North East,5928814
Massachusetts,1761,5.41,37152,North East,6692824
Michigan,1360,6.59,65742,West,9895622
Minnesota,759,14.22,79307,Mid West,5420380
Mississippi,1029,11.89,35494,South,2991207
Missouri,1730,11.94,72996,Mid West,6044171
Montana,167,21.06,22133,West,1015165
Nebraska,439,11.57,22234,West,1868516
Nevada,437,25.64,76888,West,2790136
New Hampshire,206,46.76,64135,North East,1323459
New Jersey,1342,6.38,57507,North East,8899339
New Mexico,448,46.73,97580,West,2085287
New York,2031,3.83,76207,North East,19651127
North Carolina,2141,14.818,152238,South,9848060
North Dakota,133,17.56,13272,Mid West,723393
Ohio,2701,14.87,173405,Mid West,11570808
Oklahoma,866,18.13,71269,South,3850568
Oregon,511,14.815999999999999,61383,West,3930065
Pennsylvania,2172,18.45,236377,North East,12773801
Rhode Island,191,3.98,37152,North East,1051511
South Carolina,1721,21.01,105601,South,4774839
South Dakota,199,24.29,21130,Mid West,844877
Tennessee,1874,14.76,99159,South,6495978
Texas,2875,20.79,588696,South,26448193
Utah,224,23.48,72856,West,2900872
Vermont,71,9.41,5872,North East,626630
Virginia,1473,36.34,307822,South,8260405
Washington,881,12.4,91835,West,6971406
West Virginia,390,19.42,35264,South,1854304
Wisconsin,1369,11.19,64878,Mid West,5742713
Wyoming,91,229.24,132806,West,582658
